"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10150","Covigenix VAX-001","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","Entos Pharmaceuticals Inc.","2020","Canada","18 - 85 years","2 doses 14 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","Fusogenix PLV","NA","Canadian Institutes of Health Research","NA","NA","NA","NCT04591184","https://clinicaltrials.gov/ct2/show/NCT04591184","https://clinicaltrials.gov/ct2/history/NCT04591184"
"10151","Covovax (Nuvaxovid)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","Novavax Inc.","NA","NA","NA","NA","Intramuscular","Matrix-M1","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","TAK-019, SARS-CoV-2 rS","32585611","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7301105/","https://clinicaltrials.gov/ct2/show/NCT04368988"
"10152","bacTRL-Spike vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","Symvivo Corporation","NA","NA","18 - 59 years","NA","Oral","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","32585611","NCT04334980","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7301105/","NA"
"10153","AdCOVID","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 1","Altimmune Inc.","NA","USA","18 - 55 years","NA","Intranasal","NA","NA","NA","NA","NA","NA","NA","33937326","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082173/","NA"
"10154","MVA-SARS-2-S","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 1","University Medical Center Hamburg-Eppendorf","NA","Germany","18 - 55 years","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","33937326","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082173/","NA"
"10155","MVA-SARS-2-S","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 1","Ludwig-Maximilians, University of Munich ","NA","NA","NA","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10156","VXA-CoV2-1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","Vaxart","2021","USA","18 - 55 years","2 doses 28 days apart","Oral","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","33937326","NCT04563702","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082173/","NA"
"10157","VXA-CoV2-1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","Vaxart","2021","USA","18 - 54 years","2 doses 28 days apart","Oral","NA","NA","Ad5 adjuvanted Oral Vaccine platform","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10158","GRAd-COV2","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 1","ReiThera Srl","2021","Italy","18 - 85 years","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","33937326","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082173/","NA"
"10159","KCONVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 1","Shenzhen Kangtai Biological Products Co. Ltd","NA","NA","NA","1- 3 doses depending on volume and age","Intramuscular","NA","NA","NA","NA","NA","NA","Inactivated SARS-CoV-2 vaccine (Vero cell)","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10160","CVXGA1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","CyanVac LLC","2021","USA","18 - 75 years","Single dose","Intranasal","NA","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","PIV5-SARS CoV-2 vaccine","NA","NCT04954287","https://clinicaltrials.gov/ct2/show/NCT04954287","NA"
"10161","COVID-19 rNDV vector vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","Laboratorio Avi-Mex","2021","Mexico","18 - 55 years","2 doses 21 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT04871737","https://clinicaltrials.gov/ct2/show/study/NCT04871737","NA"
"10162","COVI-VAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","Codagenix Inc.","2021","UK","18 - 30 years","2 doses 28 days apart","Intranasal","NA","SARS CoV 2 whole virus","NA","NA","Serum Institute of India","NA","CDX-005","33816047","NCT04619628","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10163","BriLife","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Replicating viral vector","Phase 1","Israel Institute for Biological Research","NA","NA","NA","Single dose","Intramuscular","NA","NA","NA","NA","NA","NA","rVSV-SARS-CoV-2-S Vaccine","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10164","bacTRL-Spike vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","Symvivo Corporation","NA","NA","NA","Single dose","Oral","NA","NA","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10165","KoÃ§ak-19 Inaktif Covid-19 Vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 1","Kocak Farma","2021","Turkey","18 - 55 years","2 doses 21 days apart","Intramuscular","NA","SARS CoV 2 whole virus","NA","NA","NA","NA","NA","NA","NCT04838080","https://clinicaltrials.gov/ct2/show/NCT04838080","NA"
"10166","ChulaCov19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Chulalongkorn University","NA","NA","NA","2 doses 21 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10167","CORVax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","Providence Health & Services","NA","NA","NA","2 doses 14 days apart","Intradermal","NA","NA","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10168","Covigenix VAX-001","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","Entos Pharmaceuticals Inc.","2021","Canada","NA","2 doses 14 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10169","AdimrSC-2f","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","Adimmune Corporation","2021","Taiwan","20 - 60 years","NA","Intramuscular","Aluminum","Recombinant receptor binding domain of SARS-CoV-2 spike protein","NA","NA","NA","NA","NA","33816047","NCT04522089","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://clinicaltrials.gov/ct2/show/NCT05104489"
"10170","Shingrix","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","University of OklahomaÂ ","NA","NA","NA","2 doses 60 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10171","SARS-CoV-2 VLP vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 1","The Scientific and Technological Research Council of Turkey","2021","Turkey","18 - 45 years","2 doses 21 days apart","Subcutaneous","Alumium hydroxide, CpG ODN","Inactivated SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04866069","https://clinicaltrials.gov/ct2/show/study/NCT04866069","NA"
"10172","COVID-19 aAPC vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Replicating viral vector","Phase 1","Shenzhen Geno-Immune Medical Institute","2021","China","6 months - 80 years","3 doses on day 0, 14 and 28","Subcutaneous","NA","NA","The Covid-19/aAPC vaccine is prepared by applying lentivirus modification with immune-modulatory genes and the viral minigenes to the artificial antigen-presenting cells","NA","NA","NA","NA","33816047","NCT04299724","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10173","SARS-CoV-2 mRNA vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Shulan (Hangzhou) Hospital","NA","NA","NA","2 doses 14 days apart","Intramuscular","NA","NA","NA","NA","Guangxi CDC","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10174","LNP-nCoVsaRNA","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Imperial College London","2021","UK","18 - 75 years","2 doses","Intramuscular","NA","Self-amplifying RNA SARS-CoV-2 lipid nanoparticle","NA","NA","NA","NA","COVAC1","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10175","MV-014-212","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","Meissa Vaccines Inc.","2021","USA","18 - 69 years","2 doses 35 days apart","Intranasal","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04798001","https://clinicaltrials.gov/ct2/show/NCT04798001?term=covid-19+vaccine&draw=2","NA"
"10176","Noora vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","Bagheiat-allah University of Medical Sciences","2021","Iran","18 - 50 years","3 doses on day 0, 21 and 35","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","AmitisGen","NA","NA","https://en.irct.ir/trial/56987","NA"
"10177","COVAX-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","Vaxine, Medytox","NA","NA","NA","Single dose","Intramuscular","NA","NA","NA","NA","NA","NA","COVID-19 vaccine","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10178","SpFN COVID-19 Vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","US Army Medical Research and Development Command","2021","USA","18 - 55 years","3 doses on day 1, 29 and 181","Intramuscular","Army Liposomal Formulation QS21","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","NA","NA","NCT04784767","https://clinicaltrials.gov/show/NCT04784767","NA"
"10179","ChAdV68-S","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","Gritstone Oncology","2021","USA","18 years and above","2 doses 28 days apart","Intramuscular","Aluminum (alum)","SARS-CoV-2 receptor-binding domain from spike protein","NA","NA","NA","NA","NA","NA","NCT04760743","https://clinicaltrials.gov/ct2/show/NCT04760743","NA"
"10180","iNCOVACC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 1","Bharat Biotech International Limited","2021","India","18 - 60 years","2 doses 28 days apart","Intranasal","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","BBV154","NA","NA","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=51327","NA"
"10181","PTX-COVID19-B","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Providence Therapeutics Holdings Inc.","2021","Canada","18 - 64 years","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT04765436","https://clinicaltrials.gov/show/NCT04765436","NA"
"10182","ReCOV","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","Jiangsu Rec-Biotechnology Co. Ltd.","2021","New Zealand","18 - 60 years","2 doses 21 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04818801","https://clinicaltrials.gov/ct2/show/NCT04818801","NA"
"10183","NBP2001","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","SK Bioscience Co. Ltd.","2021","SouthÂ Korea","19 - 55 years","2 doses 28 days apart","Intramuscular","MF59","SARS CoV-2 Receptor Binding domain","NA","NA","NA","NA","NA","NA","NCT04760743","https://clinicaltrials.gov/show/NCT04760743","NA"
"10184","SC-Ad6-1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","Tetherex Pharmaceuticals Corporation","2021","Australia","18 - 55 years","Single or multiple-dose","Intramuscular, Intranasal","NA","NA","NA","NA","NA","NA","NA","NA","NCT04839042","https://clinicaltrials.gov/ct2/show/NCT04839042","NA"
"10185","Turkovac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 1","Health Institutes of Turkey","2020","Turkey","18 - 55 years","2 doses 21 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","ERUCOV-VAC","NA","NCT04691947","https://clinicaltrials.gov/show/NCT04691947","NA"
"10186","bacTRL-Spike vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","Symvivo Corporation","2020","Australia","18 years and above","NA","Oral","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04334980","https://clinicaltrials.gov/show/NCT04334980","NA"
"10187","Spikevax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Moderna Inc.","2021","USA","18 years and above","2 doses 28 days apart","Intramuscular","NA","NA","mRNA based vaccine","US FDA","NA","NA","mRNA-1273, CX-024414, COVID-19 mRNA Vaccine Moderna, TAK-919, Moderna COVIDâ€‘19 Vaccine, COVIDâ€‘19 Vaccine Moderna, COVID-19 Vaccine Moderna Intramuscular Injection, Elasomeran","NA","NCT04785144","https://clinicaltrials.gov/ct2/show/NCT04785144","NA"
"10188","Covax-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","GeneCure Biotechnologies","2020","USA","18 - 60 years","2 doses 2 weeks apart","Intramuscular","NA","NA","NA","US FDA","NA","NA","NA","NA","NCT04428073","https://clinicaltrials.gov/show/NCT04428073","https://delta.larvol.com/Products/bac627c1e3c7453f9c3e06990d38d930/COVAX19GC004/0/11eb4d064c904d80ad7af09be3dfc6e8/COVAX19-Monovalent-Recombinant-COVID19-Vaccine/"
"10189","TMV-083","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Replicating viral vector","Phase 1","Institut Pasteur","2020","Belgium","18 - 55 years","2 doses 28 days apart","Intramuscular","NA","Surface glycoprotein of the SARS-CoV-2","NA","NA","NA","NA","MV-SARS-CoV-2","NA","NCT04497298","https://clinicaltrials.gov/show/NCT04497298","NA"
"10190","IN01 vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","NA","Phase 1","Instituto OncolÃ¢â€”Å½gico Dr Rosell","2020","Spain","18 years and above","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NCT04537130","https://clinicaltrials.gov/show/NCT04537130","NA"
"10191","V590-001","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Replicating viral vector","Phase 1","Merck & Co. Inc.","2020","USA","18 years and above","NA","Intramuscular","NA","NA","NA","US FDA","NA","NA","NA","NA","NCT04569786","https://clinicaltrials.gov/show/NCT04569786","NA"
"10192","CoV2 SAM","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","GlaxoSmithKline","2021","USA","18 - 50 years","2 doses 1 month apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","mRNA based vaccine","NA","NA","NA","NA","NA","NCT04758962","https://clinicaltrials.gov/ct2/show/study/NCT04758962","NA"
"10193","CORVax12","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","Providence Health & Services, OncoSec Medical Inc.","2021","USA","18 years and above","NA","Intradermal","NA","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","NA","NA","NCT04627675","https://clinicaltrials.gov/ct2/show/NCT04627675","NA"
"10194","ChulaCov19 mRNA vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Chulalongkorn University","2021","Thailand","18 - 75 years","2 doses 21 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04566276","https://clinicaltrials.gov/show/NCT04566276","NA"
"10195","ChAdOx1 MERS (MERS002)","MERS","Respiratory","MERS-CoV","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 1","King Abdullah International Medical Research Center","2020","Saudi Arabia","18 - 50 years","NA","Intramuscular","NA","Eplication-deficient simian adenoviral vector expressing the spike protein of MERS Coronavirus","NA","NA","University of Oxford","NA","NA","NA","NCT04170829","https://clinicaltrials.gov/ct2/show/NCT04170829?cond=MERS-CoV&phase=0123&draw=2&rank=3","NA"
